LOCATION,Country,TL,Territory level,GEO,Geography,VAR,Variable,TIME,Time,Value,Flag Codes,Flags
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2013,2013,10845,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2014,2014,10474,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2015,2015,10242,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2016,2016,10332,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2017,2017,10839,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2018,2018,11061,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,EMP_IND_TOTAL,Employment at place of work,2001,2001,2909785,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,EMP_IND_TOTAL,Employment at place of work,2002,2002,2933403,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,EMP_IND_TOTAL,Employment at place of work,2003,2003,2954139,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,EMP_IND_TOTAL,Employment at place of work,2004,2004,3007161,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,EMP_IND_TOTAL,Employment at place of work,2005,2005,3112356,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,EMP_IND_TOTAL,Employment at place of work,2006,2006,3243805,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,EMP_IND_TOTAL,Employment at place of work,2007,2007,3366616,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,EMP_IND_TOTAL,Employment at place of work,2008,2008,3491113,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,EMP_IND_TOTAL,Employment at place of work,2009,2009,3466455,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,EMP_IND_TOTAL,Employment at place of work,2010,2010,3470287,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,EMP_IND_TOTAL,Employment at place of work,2011,2011,3582418,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,EMP_IND_TOTAL,Employment at place of work,2012,2012,3711625,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,EMP_IND_TOTAL,Employment at place of work,2013,2013,3845413,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,EMP_IND_TOTAL,Employment at place of work,2014,2014,3986640,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,EMP_IND_TOTAL,Employment at place of work,2015,2015,4086070,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,EMP_IND_TOTAL,Employment at place of work,2016,2016,4079957,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,EMP_IND_TOTAL,Employment at place of work,2017,2017,4202884,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,EMP_IND_TOTAL,Employment at place of work,2018,2018,4336007,,
USA,United States,FUA,Functional Urban Area,USA34F,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2001,2001,49623,,
USA,United States,FUA,Functional Urban Area,USA34F,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2002,2002,50222,,
USA,United States,FUA,Functional Urban Area,USA34F,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2003,2003,50310,,
USA,United States,FUA,Functional Urban Area,USA34F,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2004,2004,52758,,
USA,United States,FUA,Functional Urban Area,USA34F,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2005,2005,55278,,
USA,United States,FUA,Functional Urban Area,USA34F,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2006,2006,58352,,
USA,United States,FUA,Functional Urban Area,USA34F,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2007,2007,59454,,
USA,United States,FUA,Functional Urban Area,USA34F,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2008,2008,57648,,
USA,United States,FUA,Functional Urban Area,USA34F,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2009,2009,54268,,
USA,United States,FUA,Functional Urban Area,USA34F,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2010,2010,55147,,
USA,United States,FUA,Functional Urban Area,USA34F,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2011,2011,56892,,
USA,United States,FUA,Functional Urban Area,USA34F,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2012,2012,57584,,
USA,United States,FUA,Functional Urban Area,USA34F,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2013,2013,57973,,
USA,United States,FUA,Functional Urban Area,USA34F,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2014,2014,58810,,
USA,United States,FUA,Functional Urban Area,USA34F,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2015,2015,60442,,
USA,United States,FUA,Functional Urban Area,USA34F,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,2016,62440,,
USA,United States,FUA,Functional Urban Area,USA34F,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2017,2017,63808,,
USA,United States,FUA,Functional Urban Area,USA34F,Salt Lake,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2018,2018,67082,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2001,2001,110885,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2002,2002,111524,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2003,2003,112064,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2004,2004,114914,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2005,2005,118558,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2006,2006,123813,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2007,2007,127135,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2008,2008,126968,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2009,2009,122019,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2010,2010,121790,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2011,2011,123857,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2012,2012,126988,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2013,2013,128365,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2014,2014,132774,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2015,2015,136443,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2016,2016,137224,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2017,2017,139632,,
USA,United States,FUA,Functional Urban Area,USA162F,Tuscaloosa,EMP_IND_TOTAL,Employment at place of work,2018,2018,142401,,
USA,United States,FUA,Functional Urban Area,USA143F,Erie (PA),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2001,2001,10670,,
USA,United States,FUA,Functional Urban Area,USA143F,Erie (PA),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2002,2002,10613,,
USA,United States,FUA,Functional Urban Area,USA143F,Erie (PA),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2003,2003,10696,,
USA,United States,FUA,Functional Urban Area,USA143F,Erie (PA),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2004,2004,11009,,
USA,United States,FUA,Functional Urban Area,USA143F,Erie (PA),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2005,2005,11502,,
USA,United States,FUA,Functional Urban Area,USA143F,Erie (PA),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2006,2006,11720,,
USA,United States,FUA,Functional Urban Area,USA143F,Erie (PA),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2007,2007,12088,,
USA,United States,FUA,Functional Urban Area,USA143F,Erie (PA),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2008,2008,12633,,
USA,United States,FUA,Functional Urban Area,USA143F,Erie (PA),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2009,2009,11840,,
USA,United States,FUA,Functional Urban Area,USA143F,Erie (PA),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2010,2010,12036,,
USA,United States,FUA,Functional Urban Area,USA143F,Erie (PA),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2011,2011,12504,,
USA,United States,FUA,Functional Urban Area,USA143F,Erie (PA),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2012,2012,12235,,
USA,United States,FUA,Functional Urban Area,USA143F,Erie (PA),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2013,2013,12348,,
USA,United States,FUA,Functional Urban Area,USA143F,Erie (PA),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2014,2014,11690,,
USA,United States,FUA,Functional Urban Area,USA143F,Erie (PA),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2015,2015,11835,,
USA,United States,FUA,Functional Urban Area,USA143F,Erie (PA),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2016,2016,11509,,
USA,United States,FUA,Functional Urban Area,USA143F,Erie (PA),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2017,2017,11116,,
USA,United States,FUA,Functional Urban Area,USA143F,Erie (PA),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2018,2018,11190,,
USA,United States,FUA,Functional Urban Area,USA95F,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2001,2001,87255,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA95F,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2002,2002,92334,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA95F,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2003,2003,93542,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA95F,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2004,2004,93333,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA95F,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2005,2005,94127,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA95F,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2006,2006,93989,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA95F,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2007,2007,94155,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA95F,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2008,2008,88737,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA95F,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2009,2009,90496,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA95F,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2010,2010,96767,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA95F,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2011,2011,92829,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA95F,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2012,2012,90938,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA95F,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2013,2013,89770,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA95F,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2014,2014,90431,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA95F,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2015,2015,93375,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA95F,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2016,2016,95959,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA95F,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2017,2017,95891,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA95F,Ingham,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2018,2018,96575,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA08F,Houston,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2001,2001,279904,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2002,2002,275212,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2003,2003,281710,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2004,2004,309194,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2005,2005,323271,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2006,2006,352931,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2007,2007,382114,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2008,2008,376641,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2009,2009,363638,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2010,2010,387086,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2011,2011,410772,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2012,2012,428404,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2013,2013,444992,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2014,2014,448964,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2015,2015,463778,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2016,2016,451107,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2017,2017,462007,,
USA,United States,FUA,Functional Urban Area,USA08F,Houston,GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2018,2018,482416,,
USA,United States,FUA,Functional Urban Area,USA168F,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2001,2001,87034,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA168F,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2002,2002,88056,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA168F,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2003,2003,88950,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA168F,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2004,2004,91192,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA168F,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2005,2005,93194,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA168F,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2006,2006,94179,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA168F,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2007,2007,94418,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA168F,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2008,2008,92379,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA168F,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2009,2009,94418,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA168F,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2010,2010,93134,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA168F,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2011,2011,94895,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA168F,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2012,2012,98499,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA168F,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2013,2013,97160,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA168F,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2014,2014,98869,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA168F,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2015,2015,103180,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA168F,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2016,2016,103876,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA168F,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2017,2017,103557,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA168F,Outagamie,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2018,2018,107353,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA46F,Richmond (Greater),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2001,2001,56816,,
USA,United States,FUA,Functional Urban Area,USA46F,Richmond (Greater),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2002,2002,56071,,
USA,United States,FUA,Functional Urban Area,USA46F,Richmond (Greater),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2003,2003,57256,,
USA,United States,FUA,Functional Urban Area,USA46F,Richmond (Greater),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2004,2004,57808,,
USA,United States,FUA,Functional Urban Area,USA46F,Richmond (Greater),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2005,2005,60682,,
USA,United States,FUA,Functional Urban Area,USA46F,Richmond (Greater),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2006,2006,60975,,
USA,United States,FUA,Functional Urban Area,USA46F,Richmond (Greater),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2007,2007,62025,,
USA,United States,FUA,Functional Urban Area,USA46F,Richmond (Greater),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2008,2008,61779,,
USA,United States,FUA,Functional Urban Area,USA46F,Richmond (Greater),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2009,2009,61287,,
USA,United States,FUA,Functional Urban Area,USA46F,Richmond (Greater),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2010,2010,62534,,
USA,United States,FUA,Functional Urban Area,USA46F,Richmond (Greater),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2011,2011,63892,,
USA,United States,FUA,Functional Urban Area,USA46F,Richmond (Greater),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2012,2012,65822,,
USA,United States,FUA,Functional Urban Area,USA46F,Richmond (Greater),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2013,2013,67791,,
USA,United States,FUA,Functional Urban Area,USA46F,Richmond (Greater),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2014,2014,68895,,
USA,United States,FUA,Functional Urban Area,USA46F,Richmond (Greater),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2015,2015,72572,,
USA,United States,FUA,Functional Urban Area,USA46F,Richmond (Greater),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2016,2016,74666,,
USA,United States,FUA,Functional Urban Area,USA46F,Richmond (Greater),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2017,2017,75324,,
USA,United States,FUA,Functional Urban Area,USA46F,Richmond (Greater),GDP_REAL_PPP,"GDP (Million USD, constant prices, constant PPP, base year 2015)",2018,2018,76723,,
USA,United States,FUA,Functional Urban Area,USA67F,San Joaquin,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2001,2001,84736,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA67F,San Joaquin,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2002,2002,87104,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA67F,San Joaquin,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2003,2003,90451,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA67F,San Joaquin,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2004,2004,93672,D,Difference in methodology
USA,United States,FUA,Functional Urban Area,USA67F,San Joaquin,GDP_PW_REAL_PPP,"Labour productivity (GDP per worker in USD, constant prices, constant PPP, base year 2015)",2005,2005,96777,D,Difference in methodology
